Nombre,Ciudad,Estado,Tipo de Club,Canchas,Precio Hora Pico,Precio Hora Valle,Latitud,Longitud
Modo Pádel,Medellin,Abierto,Club de Pádel,3.0," $120,000"," $60,000",6.155252099999999,-75.61423409999999
Monaco Padel,Cartago,Abierto,Club de Pádel,4.0," $120,000"," $60,000",4.7592342,-75.9253959
Mucho Padel,Cartagena,Abierto,Club de Pádel,4.0," $210,000"," $80,000",10.5186851,-75.48154149999999
NIZA PADEL CLUB,Cucuta,Abierto,Club de Pádel,3.0," $90,000"," $60,000",7.9175924,-72.4866714
North Padel Cucuta,Cucuta,Abierto,Club de Pádel,4.0," $90,000"," $60,000",7.86375,-72.48208333333334
ONE PADEL CENTER,Cucuta,Abierto,Club de Pádel,2.0," $60,000"," $120,000",7.859552899999998,-72.4969935
Open Padel Manizales,Manizales,Abierto,Club de Pádel,1.0," $100,000"," $50,000",5.0551971,-75.484602
PADEL 100,Bogota,Abierto,Club de Pádel,3.0,,,4.682907699999999,-74.04448230000001
Padel Blue,Bogota,Abierto,Club de Pádel,2.0," $90,000"," $60,000",4.933465299999999,-73.9543285
Padel Bucaramanga,Bucaramanga,Abierto,Club de Pádel,2.0," $140,000"," $60,000",7.062363899999998,-73.1081353
Padel city Ruitoque,Bucaramanga,Abierto,Club Deportivo MIxto,2.0," $160,000"," $60,000",7.0366196,-73.0684605
Pádel Club 15,Bucaramanga,Abierto,Club de Pádel,2.0," $230,000"," $70,000",7.110020099999999,-73.1183388
PADEL CLUB 27,Bucaramanga,Abierto,Club de Pádel,2.0," $170,000"," $70,000",7.114123099999999,-73.1147367
Padel Club Dinametrics,Manizales,Abierto,Club de Pádel,3.0," $160,000"," $80,000",5.028652099999999,-75.4781558
Padel Club Llanogrande,Medellin,Abierto,Club de Pádel,3.0," $120,000"," $80,000",6.1196478,-75.4430067
Padel Club Patios,Bogota,Abierto,Club de Pádel,2.0," $180,000"," $100,000",4.6618492,-74.0104362
Padel Club Uraba,Medellin,Abierto,Club de Pádel,2.0," $120,000"," $50,000",7.880993099999999,-76.6320856
Padel Corner Chia,Bogota,Abierto,Club de Pádel,4.0," $180,000"," $60,000",4.900073799999999,-74.0374135
Padel del Café - Canchas sintéticas,Armenia,Abierto,Club Deportivo MIxto,2.0," $85,000"," $50,000",4.5382977,-75.6611688
PÁDEL FACTORY,Bogota,Abierto,Club de Pádel,," $160,000"," $60,000",4.6298092,-74.1177761
Padel Garden,Ibague,Abierto,Club de Pádel,3.0," $120,000"," $60,000",4.4562823,-75.1934859
Padel Land,Sincelejo,Abierto,Club de Pádel,2.0," $75,000"," $50,000",,
Padel House Pinares By FARAH,Pereira,Abierto,Club de Pádel,4.0," $150,000"," $70,000",4.800948300000001,-75.68519119999999
Padel Inn Club,Ibague,Abierto,Club de Pádel,2.0," $120,000"," $40,000",4.407089099999999,-75.1786692
Padel Park,Barranquilla,Abierto,Club de Pádel,2.0," $100,000"," $50,000",8.782834199999998,-75.8640356
Padel Rionegro,Medellin,Abierto,Club de Pádel,3.0," $105,000"," $75,000",6.151780599999999,-75.3829439
Padel Santafe Cartago,Cartago,Abierto,Club de Pádel,2.0," $130,000"," $40,000",4.7513593,-75.9283495
Padel Shot,Bogota,Abierto,Club de Pádel,4.0," $130,000"," $60,000",4.6506864,-74.0656491
Padel Zenter del Rio,Barranquilla,Abierto,Club de Pádel,4.0," $140,000"," $90,000",11.0316595,-74.806583
Padel Zenter La Arenosa,Barranquilla,Abierto,Club de Pádel,2.0," $150,000"," $48,000",11.0188777,-74.8001675
PADELHUB Bolivariana,Medellin,Abierto,Club de Pádel,2.0," $140,000"," $70,000",6.2434974,-75.5907088
PADELHUB Club El Rodeo,Medellin,Abierto,Club de Pádel,2.0," $164,000"," $90,000",6.2068518,-75.5962687
